County Name,State,7/6/2021
City of Poquoson,VA,900
City of Portsmouth,VA,9225
City of Radford,VA,2181
City of Richmond,VA,17032
City of Roanoke,VA,8642
City of Salem,VA,2219
City of St. Louis,MO,24774
City of Staunton,VA,2531
City of Suffolk,VA,8015
City of Virginia Beach,VA,36489
City of Waynesboro,VA,2402
City of Williamsburg,VA,768
City of Winchester,VA,2946
Clackamas County ,OR,19175
Claiborne County ,MS,1033
Claiborne County ,TN,3234
Claiborne Parish ,LA,1485
Clallam County ,WA,1457
Clare County ,MI,2483
Clarendon County ,SC,3483
Clarion County ,PA,3206
Clark County ,AR,2235
Clark County ,ID,59
Clark County ,IL,1866
Clark County ,IN,13279
Clark County ,KS,250
Clark County ,KY,3048
Clark County ,MO,719
Clark County ,NV,262134
Clark County ,OH,14269
Clark County ,SD,464
Clark County ,WA,26083
Clark County ,WI,3705
Clarke County ,AL,3531
Clarke County ,GA,12967
Clarke County ,IA,1016
Clarke County ,MS,1792
Clarke County ,VA,1023
Clatsop County ,OR,1081
Clay County ,AL,1603
Clay County ,AR,1811
Clay County ,FL,19853
Clay County ,GA,186
Clay County ,IL,1509
Clay County ,IN,2701
Clay County ,IA,2168
Clay County ,KS,815
Clay County ,KY,2724
Clay County ,MN,8276
Clay County ,MS,1891
Clay County ,MO,10559
Clay County ,NE,706
Clay County ,NC,905
Clay County ,SD,1933
Clay County ,TN,1121
Clay County ,TX,1042
Clay County ,WV,543
Clayton County ,GA,24712
Clayton County ,IA,1713
Clear Creek County ,CO,478
Clearfield County ,PA,8653
Clearwater County ,ID,1085
Clearwater County ,MN,890
Cleburne County ,AL,1542
Cleburne County ,AR,2093
Clermont County ,OH,20197
Cleveland County ,AR,1002
Cleveland County ,NC,11735
Cleveland County ,OK,31412
Clinch County ,GA,745
Clinton County ,IL,5801
Clinton County ,IN,4475
Clinton County ,IA,5618
Clinton County ,KY,1455
Clinton County ,MI,7663
Clinton County ,MO,2041
Clinton County ,NY,4856
Clinton County ,OH,3824
Clinton County ,PA,3712
Cloud County ,KS,1004
Coahoma County ,MS,3033
Coal County ,OK,705
Cobb County ,GA,62337
Cochise County ,AZ,12221
Cochran County ,TX,335
Cocke County ,TN,4547
Coconino County ,AZ,18078
Codington County ,SD,4657
Coffee County ,AL,5684
Coffee County ,GA,4281
Coffee County ,TN,6992
Coffey County ,KS,752
Coke County ,TX,469
Colbert County ,AL,6430
Cole County ,MO,9443
Coleman County ,TX,760
Coles County ,IL,5785
Colfax County ,NE,1593
Colfax County ,NM,799
Colleton County ,SC,3717
Collier County ,FL,36557
Collin County ,TX,93283
Collingsworth County ,TX,331
Colorado County ,TX,1772
Colquitt County ,GA,3687
Columbia County ,AR,2428
Columbia County ,FL,8352
Columbia County ,GA,11262
Columbia County ,NY,4083
Columbia County ,OR,1960
Columbia County ,PA,5906
Columbia County ,WA,133
Columbia County ,WI,5925
Columbiana County ,OH,9057
Columbus County ,NC,6462
Colusa County ,CA,1966
Comal County ,TX,11385
Comanche County ,KS,172
Comanche County ,OK,14407
Comanche County ,TX,1570
Concho County ,TX,505
Concordia Parish ,LA,1931
Conecuh County ,AL,1146
Conejos County ,CO,741
Consolidated Municipality of Carson City,NV,6629
Contra Costa County ,CA,71234
Converse County ,WY,1042
Conway County ,AR,2270
Cook County ,GA,1187
Cook County ,IL,557498
Cook County ,MN,172
Cooke County ,TX,3808
Cooper County ,MO,1965
Coos County ,NH,2061
Coos County ,OR,2196
Coosa County ,AL,1123
Copiah County ,MS,3025
Corson County ,SD,487
Cortland County ,NY,3935
Coryell County ,TX,7384
Coshocton County ,OH,2703
Costilla County ,CO,251
Cottle County ,TX,190
Cotton County ,OK,697
Cottonwood County ,MN,1674
Covington County ,AL,4320
Covington County ,MS,2698
Coweta County ,GA,8914
Cowley County ,KS,4012
Cowlitz County ,WA,6726
Craig County ,OK,2053
Craig County ,VA,326
Craighead County ,AR,13913
Crane County ,TX,547
Craven County ,NC,9479
Crawford County ,AR,7279
Crawford County ,GA,523
Crawford County ,IL,2145
Crawford County ,IN,1026
Crawford County ,IA,2690
Crawford County ,KS,4901
Crawford County ,MI,995
Crawford County ,MO,2683
Crawford County ,OH,4063
Crawford County ,PA,7557
Crawford County ,WI,1803
Creek County ,OK,7100
Crenshaw County ,AL,1588
Crisp County ,GA,1464
Crittenden County ,AR,6208
Crittenden County ,KY,687
Crockett County ,TN,2064
Crockett County ,TX,595
Crook County ,OR,1310
Crook County ,WY,460
Crosby County ,TX,759
Cross County ,AR,1996
Crow Wing County ,MN,6838
Crowley County ,CO,2216
Culberson County ,TX,367
Cullman County ,AL,10014
Culpeper County ,VA,4735
Cumberland County ,IL,1305
